DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 08:55:00,TR2994,323,Narrow,3,W,TR,T5CW007R,2040-12-05 06:25:00,2040-12-05 08:25:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-05 19:25:00,TR90,498,Narrow,3,W,TR,T5CW011R,2040-12-05 16:55:00,2040-12-05 18:55:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-05 20:55:00,TR3617,462,Narrow,3,W,TR,T5CW008R,2040-12-05 18:25:00,2040-12-05 20:25:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 07:55:00,TR2260,781,Narrow,3,W,TR,T5CW011L,2040-12-06 05:25:00,2040-12-06 07:25:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 08:00:00,MI366,1145,Narrow,3,W,MI,T5CW001R,2040-12-06 05:30:00,2040-12-06 07:30:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 08:25:00,TR2106,901,Narrow,3,W,TR,R5CW502L,2040-12-06 05:55:00,2040-12-06 07:55:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 08:30:00,TR3611,941,Narrow,3,W,TR,R5DW701L,2040-12-06 06:00:00,2040-12-06 08:00:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 08:35:00,TR2662,844,Narrow,3,W,TR,R5CW502R,2040-12-06 06:05:00,2040-12-06 08:05:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 09:00:00,TR2428,834,Narrow,3,W,TR,T5CW007R,2040-12-06 06:30:00,2040-12-06 08:30:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 09:15:00,TR1992,882,Narrow,3,W,TR,T5CW002L,2040-12-06 06:45:00,2040-12-06 08:45:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
2040-12-06 09:15:00,TR1990,887,Narrow,3,W,TR,T5CW006L,2040-12-06 06:45:00,2040-12-06 08:45:00,UNASSIGNED,NO_CAPACITY,Narrow,Narrow,NO,UNASSIGNED,0
