DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason
2040-12-05 07:30:00,MI436,374,Wide,3,T1,MI,T5CE008L,2040-12-05 04:30:00,2040-12-05 07:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:30:00,TR5003,131,Wide,3,T1,TR,T5CE006,2040-12-05 04:30:00,2040-12-05 07:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:35:00,TR3667,129,Wide,3,T2,TR,T5CW008L,2040-12-05 04:35:00,2040-12-05 07:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:40:00,MI234,372,Wide,3,T2,MI,T5CW003L,2040-12-05 04:40:00,2040-12-05 07:10:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:45:00,MI602,229,Wide,3,T2,MI,T5CW008R,2040-12-05 04:45:00,2040-12-05 07:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:50:00,TR3627,281,Wide,3,T1,TR,T5CE008R,2040-12-05 04:50:00,2040-12-05 07:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 07:55:00,TR3601,423,Wide,3,T2,TR,T5CW002L,2040-12-05 04:55:00,2040-12-05 07:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,TZ3621,116,Narrow,7,T2,TZ,T5CW009,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,TR2152,153,Wide,3,T1,TR,T5CE009R,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:00:00,MI922,548,Wide,3,T1,MI,R5CE501L,2040-12-05 05:00:00,2040-12-05 07:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:05:00,TR1996,69,Wide,3,T2,TR,T5CW002R,2040-12-05 05:05:00,2040-12-05 07:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:10:00,TZ3604,206,Narrow,7,T1,TZ,T5CE004,2040-12-05 05:10:00,2040-12-05 07:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:10:00,TR2274,135,Wide,3,T1,TR,T5CE009L,2040-12-05 05:10:00,2040-12-05 07:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:15:00,TR1994,100,Wide,3,T2,TR,R5CW501,2040-12-05 05:15:00,2040-12-05 07:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,MI3640,163,Wide,3,T2,MI,T5CW006R,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,TR2782,137,Wide,3,T1,TR,R5CE503L,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:20:00,MI2493,257,Wide,3,T2,MI,T5CW010L,2040-12-05 05:20:00,2040-12-05 07:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:25:00,TR2106,101,Wide,3,T2,TR,R5DW701L,2040-12-05 05:25:00,2040-12-05 07:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,MI3624,659,Wide,3,T2,MI,T5CW010R,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,MI802,162,Wide,3,T2,MI,R5CW502L,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,MI1979,85,Wide,3,T2,MI,T5CW006L,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,TR94,70,Wide,3,T1,TR,R5CE604R,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,TR3611,254,Wide,3,T1,TR,R5DE703R,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:30:00,MI162,521,Wide,3,T1,MI,R5CE503R,2040-12-05 05:30:00,2040-12-05 08:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:35:00,TR2662,232,Wide,3,T2,TR,R5DW703L,2040-12-05 05:35:00,2040-12-05 08:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:50:00,TZ5513,90,Narrow,7,T2,TZ,T5CW004,2040-12-05 05:50:00,2040-12-05 08:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 08:55:00,TR2994,323,Wide,3,T2,TR,T5CW007R,2040-12-05 05:55:00,2040-12-05 08:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:00:00,TR2428,133,Wide,3,T2,TR,R5CW603L,2040-12-05 06:00:00,2040-12-05 08:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:00:00,TR92,224,Wide,3,T1,TR,T5CE008L,2040-12-05 06:00:00,2040-12-05 08:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:00:00,MI588,298,Wide,3,T1,MI,R5CE501R,2040-12-05 06:00:00,2040-12-05 08:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:05:00,MI3633,126,Wide,3,T2,MI,R5CW502R,2040-12-05 06:05:00,2040-12-05 08:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:10:00,MI412,277,Wide,3,T1,MI,T5CE007L,2040-12-05 06:10:00,2040-12-05 08:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:25:00,MI296,191,Wide,3,T2,MI,T5CW003R,2040-12-05 06:25:00,2040-12-05 08:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:30:00,TR1988,355,Wide,3,T2,TR,T5CW011R,2040-12-05 06:30:00,2040-12-05 09:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:35:00,TR2502,118,Wide,3,T2,TR,T5CW011L,2040-12-05 06:35:00,2040-12-05 09:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:35:00,TR3603,117,Wide,3,T2,TR,T5CW001L,2040-12-05 06:35:00,2040-12-05 09:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 09:45:00,TR2454,331,Wide,3,T2,TR,T5CW007L,2040-12-05 06:45:00,2040-12-05 09:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:00:00,TR2308,188,Wide,3,T2,TR,T5CW003L,2040-12-05 07:00:00,2040-12-05 09:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:00:00,TR2916,543,Wide,3,T1,TR,T5CE011L,2040-12-05 07:00:00,2040-12-05 09:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:05:00,TR2182,149,Wide,3,T1,TR,T5CE002L,2040-12-05 07:05:00,2040-12-05 09:35:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:10:00,TZ5501,134,Narrow,7,T2,TZ,T5CW009,2040-12-05 07:10:00,2040-12-05 09:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:10:00,TZ5503,121,Narrow,7,T1,TZ,T5CE005,2040-12-05 07:10:00,2040-12-05 09:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:15:00,TR2278,170,Wide,3,T1,TR,T5CE008R,2040-12-05 07:15:00,2040-12-05 09:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:20:00,TR2154,152,Wide,3,T1,TR,T5CE011R,2040-12-05 07:20:00,2040-12-05 09:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:25:00,TR3659,150,Wide,3,T2,TR,T5CW001R,2040-12-05 07:25:00,2040-12-05 09:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:25:00,TZ82,306,Narrow,7,T1,TZ,T5CE006,2040-12-05 07:25:00,2040-12-05 09:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:30:00,TR1984,216,Wide,3,T1,TR,T5CE009L,2040-12-05 07:30:00,2040-12-05 10:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 10:45:00,TZ3602,139,Narrow,7,T1,TZ,T5CE003,2040-12-05 07:45:00,2040-12-05 10:15:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 11:00:00,TR2742,217,Wide,3,T1,TR,T5CE009R,2040-12-05 08:00:00,2040-12-05 10:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 11:00:00,TZ226,161,Narrow,7,T2,TZ,T5CW005,2040-12-05 08:00:00,2040-12-05 10:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 11:00:00,TR2640,151,Wide,3,T2,TR,T5CW008L,2040-12-05 08:00:00,2040-12-05 10:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 11:25:00,TZ5511,141,Narrow,7,T1,TZ,T5CE001,2040-12-05 08:25:00,2040-12-05 10:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 11:55:00,TR2176,415,Wide,3,T2,TR,T5CW003L,2040-12-05 08:55:00,2040-12-05 11:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:00:00,TR84,172,Wide,3,T2,TR,T5CW011R,2040-12-05 09:00:00,2040-12-05 11:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:00:00,TR3631,253,Wide,3,T2,TR,T5CW006R,2040-12-05 09:00:00,2040-12-05 11:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:00:00,TR2996,283,Wide,3,T2,TR,T5CW011L,2040-12-05 09:00:00,2040-12-05 11:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:15:00,TZ206,165,Narrow,7,T2,TZ,T5CW009,2040-12-05 09:15:00,2040-12-05 11:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:15:00,TZ5525,243,Narrow,7,T1,TZ,T5CE010,2040-12-05 09:15:00,2040-12-05 11:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:30:00,TZ8,199,Narrow,7,T1,TZ,T5CE004,2040-12-05 09:30:00,2040-12-05 12:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:35:00,TR2104,248,Wide,3,T2,TR,T5CW007R,2040-12-05 09:35:00,2040-12-05 12:05:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:50:00,TR3615,189,Wide,3,T1,TR,T5CE005R,2040-12-05 09:50:00,2040-12-05 12:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:50:00,TR3647,207,Wide,3,T2,TR,T5CW007L,2040-12-05 09:50:00,2040-12-05 12:20:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 12:55:00,TR2904,661,Wide,3,T1,TR,T5CE008L,2040-12-05 09:55:00,2040-12-05 12:25:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 13:00:00,TR8,255,Wide,3,T1,TR,T5CE005L,2040-12-05 10:00:00,2040-12-05 12:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 13:00:00,TR2324,212,Wide,3,T2,TR,T5CW003L,2040-12-05 10:00:00,2040-12-05 12:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
