DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 07:30:00,TR5003,131,Narrow,3,E,TR,T5CE006,2040-12-05 05:00:00,2040-12-05 07:00:00,SPLIT,,Narrow,Narrow,NO,MUC204+MUC101+MUC102,3
2040-12-05 07:35:00,TR3667,129,Narrow,3,W,TR,T5CW008L,2040-12-05 05:05:00,2040-12-05 07:05:00,MUC109,,Narrow,Narrow,NO,MUC109,1
2040-12-05 07:40:00,MI234,372,Narrow,3,W,MI,T5CW003L,2040-12-05 05:10:00,2040-12-05 07:10:00,MUC110,,Narrow,Narrow,NO,MUC110,1
2040-12-05 07:45:00,MI602,229,Narrow,3,W,MI,T5CW008R,2040-12-05 05:15:00,2040-12-05 07:15:00,MUC206,,Narrow,Narrow,NO,MUC206,1
2040-12-05 07:50:00,TR3627,281,Wide,3,E,TR,T5CE008R,2040-12-05 05:20:00,2040-12-05 07:20:00,MUC104,,Narrow,Wide,YES,MUC104,1
2040-12-05 07:55:00,TR3601,423,Narrow,3,W,TR,T5CW002L,2040-12-05 05:25:00,2040-12-05 07:25:00,SPLIT,,Narrow,Narrow,NO,MUC207+MUC208+MUC209,3
2040-12-05 08:00:00,TZ3621,116,Wide,7,W,TZ,T5CW009,2040-12-05 05:30:00,2040-12-05 07:30:00,MUC208,,Wide,Wide,NO,MUC208,1
2040-12-05 08:00:00,TR2152,153,Wide,3,E,TR,T5CE009R,2040-12-05 05:30:00,2040-12-05 07:30:00,MUC201,,Narrow,Wide,YES,MUC201,1
2040-12-05 08:00:00,MI922,548,Wide,3,E,MI,R5CE501L,2040-12-05 05:30:00,2040-12-05 07:30:00,MUC202,,Narrow,Wide,YES,MUC202,1
2040-12-05 08:05:00,TR1996,69,Narrow,3,W,TR,T5CW002R,2040-12-05 05:35:00,2040-12-05 07:35:00,MUC205,,Narrow,Narrow,NO,MUC205,1
2040-12-05 08:10:00,TZ3604,206,Wide,7,E,TZ,T5CE004,2040-12-05 05:40:00,2040-12-05 07:40:00,MUC102,,Wide,Wide,NO,MUC102,1
2040-12-05 08:10:00,TR2274,135,Narrow,3,E,TR,T5CE009L,2040-12-05 05:40:00,2040-12-05 07:40:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 08:15:00,TR1994,100,Narrow,3,W,TR,R5CW501,2040-12-05 05:45:00,2040-12-05 07:45:00,SPLIT,,Narrow,Narrow,NO,MUC206+MUC210+MUC105,3
